id	first_seen_utc	first_seen_confidence	observed_in_run	window_start_utc
5090	2026-08-31T03:55:17+00:00	unbounded	20260831T033020+0000	
5091	2026-08-31T03:55:15+00:00	unbounded	20260831T033020+0000	
5092	2026-08-31T03:55:13+00:00	unbounded	20260831T033020+0000	
5093	2026-08-31T03:55:11+00:00	unbounded	20260831T033020+0000	
5094	2026-08-31T03:55:09+00:00	unbounded	20260831T033020+0000	
5095	2026-08-31T03:55:07+00:00	unbounded	20260831T033020+0000	
5096	2026-08-31T03:55:05+00:00	unbounded	20260831T033020+0000	
5097	2026-08-31T03:55:03+00:00	unbounded	20260831T033020+0000	
5098	2026-08-31T03:55:01+00:00	unbounded	20260831T033020+0000	
5099	2026-08-31T03:54:59+00:00	unbounded	20260831T033020+0000	
5100	2026-08-31T03:54:57+00:00	unbounded	20260831T033020+0000	
5101	2026-08-31T03:54:55+00:00	unbounded	20260831T033020+0000	
5102	2026-08-31T03:54:53+00:00	unbounded	20260831T033020+0000	
5103	2026-08-31T03:54:51+00:00	unbounded	20260831T033020+0000	
5104	2026-08-31T03:54:49+00:00	unbounded	20260831T033020+0000	
5106	2026-08-31T03:54:44+00:00	unbounded	20260831T033020+0000	
5107	2026-08-31T03:54:43+00:00	unbounded	20260831T033020+0000	
5108	2026-08-31T03:54:40+00:00	unbounded	20260831T033020+0000	
5109	2026-08-31T03:54:38+00:00	unbounded	20260831T033020+0000	
5110	2026-08-31T03:54:36+00:00	unbounded	20260831T033020+0000	
5111	2026-08-31T03:54:34+00:00	unbounded	20260831T033020+0000	
5112	2026-08-31T03:54:32+00:00	unbounded	20260831T033020+0000	
5113	2026-08-31T03:54:30+00:00	unbounded	20260831T033020+0000	
5114	2026-08-31T03:54:28+00:00	unbounded	20260831T033020+0000	
5115	2026-08-31T03:54:25+00:00	unbounded	20260831T033020+0000	
5116	2026-08-31T03:54:23+00:00	unbounded	20260831T033020+0000	
5117	2026-08-31T03:54:21+00:00	unbounded	20260831T033020+0000	
5118	2026-08-31T03:54:19+00:00	unbounded	20260831T033020+0000	
5119	2026-08-31T03:54:17+00:00	unbounded	20260831T033020+0000	
5120	2026-08-31T03:54:14+00:00	unbounded	20260831T033020+0000	
5121	2026-08-31T03:54:12+00:00	unbounded	20260831T033020+0000	
5122	2026-08-31T03:54:10+00:00	unbounded	20260831T033020+0000	
5123	2026-08-31T03:54:08+00:00	unbounded	20260831T033020+0000	
5124	2026-08-31T03:54:06+00:00	unbounded	20260831T033020+0000	
5125	2026-08-31T03:54:04+00:00	unbounded	20260831T033020+0000	
5126	2026-08-31T03:54:02+00:00	unbounded	20260831T033020+0000	
5127	2026-08-31T03:53:59+00:00	unbounded	20260831T033020+0000	
5128	2026-08-31T03:53:57+00:00	unbounded	20260831T033020+0000	
5129	2026-08-31T03:53:55+00:00	unbounded	20260831T033020+0000	
5130	2026-08-31T03:53:53+00:00	unbounded	20260831T033020+0000	
5131	2026-08-31T03:53:51+00:00	unbounded	20260831T033020+0000	
5132	2026-08-31T03:53:49+00:00	unbounded	20260831T033020+0000	
5133	2026-08-31T03:53:46+00:00	unbounded	20260831T033020+0000	
5134	2026-08-31T03:53:44+00:00	unbounded	20260831T033020+0000	
5137	2026-08-31T03:53:38+00:00	unbounded	20260831T033020+0000	
5140	2026-08-31T03:53:31+00:00	unbounded	20260831T033020+0000	
5141	2026-08-31T03:53:29+00:00	unbounded	20260831T033020+0000	
5143	2026-08-31T03:53:24+00:00	unbounded	20260831T033020+0000	
5145	2026-08-31T03:53:20+00:00	unbounded	20260831T033020+0000	
5146	2026-08-31T03:53:17+00:00	unbounded	20260831T033020+0000	
5147	2026-08-31T03:53:15+00:00	unbounded	20260831T033020+0000	
5148	2026-08-31T03:53:13+00:00	unbounded	20260831T033020+0000	
5149	2026-08-31T03:53:10+00:00	unbounded	20260831T033020+0000	
5150	2026-08-31T03:53:08+00:00	unbounded	20260831T033020+0000	
5151	2026-08-31T03:53:06+00:00	unbounded	20260831T033020+0000	
5152	2026-08-31T03:53:04+00:00	unbounded	20260831T033020+0000	
5153	2026-08-31T03:53:02+00:00	unbounded	20260831T033020+0000	
5154	2026-08-31T03:52:59+00:00	unbounded	20260831T033020+0000	
5155	2026-08-31T03:52:57+00:00	unbounded	20260831T033020+0000	
5156	2026-08-31T03:52:54+00:00	unbounded	20260831T033020+0000	
5157	2026-08-31T03:52:52+00:00	unbounded	20260831T033020+0000	
5158	2026-08-31T03:52:50+00:00	unbounded	20260831T033020+0000	
5159	2026-08-31T03:52:48+00:00	unbounded	20260831T033020+0000	
5160	2026-08-31T03:52:46+00:00	unbounded	20260831T033020+0000	
5161	2026-08-31T03:52:44+00:00	unbounded	20260831T033020+0000	
5162	2026-08-31T03:52:41+00:00	unbounded	20260831T033020+0000	
5163	2026-08-31T03:52:39+00:00	unbounded	20260831T033020+0000	
5164	2026-08-31T03:52:37+00:00	unbounded	20260831T033020+0000	
5165	2026-08-31T03:52:35+00:00	unbounded	20260831T033020+0000	
5166	2026-08-31T03:52:33+00:00	unbounded	20260831T033020+0000	
5167	2026-08-31T03:52:31+00:00	unbounded	20260831T033020+0000	
5168	2026-08-31T03:52:28+00:00	unbounded	20260831T033020+0000	
5169	2026-08-31T03:52:26+00:00	unbounded	20260831T033020+0000	
5170	2026-08-31T03:52:24+00:00	unbounded	20260831T033020+0000	
5171	2026-08-31T03:52:22+00:00	unbounded	20260831T033020+0000	
5172	2026-08-31T03:52:19+00:00	unbounded	20260831T033020+0000	
5173	2026-08-31T03:52:17+00:00	unbounded	20260831T033020+0000	
5174	2026-08-31T03:52:15+00:00	unbounded	20260831T033020+0000	
5175	2026-08-31T03:52:13+00:00	unbounded	20260831T033020+0000	
5176	2026-08-31T03:52:11+00:00	unbounded	20260831T033020+0000	
5177	2026-08-31T03:52:09+00:00	unbounded	20260831T033020+0000	
5178	2026-08-31T03:52:07+00:00	unbounded	20260831T033020+0000	
5179	2026-08-31T03:52:05+00:00	unbounded	20260831T033020+0000	
5180	2026-08-31T03:52:03+00:00	unbounded	20260831T033020+0000	
5181	2026-08-31T03:52:00+00:00	unbounded	20260831T033020+0000	
5182	2026-08-31T03:51:58+00:00	unbounded	20260831T033020+0000	
5183	2026-08-31T03:51:56+00:00	unbounded	20260831T033020+0000	
5184	2026-08-31T03:51:54+00:00	unbounded	20260831T033020+0000	
5185	2026-08-31T03:51:52+00:00	unbounded	20260831T033020+0000	
5186	2026-08-31T03:51:50+00:00	unbounded	20260831T033020+0000	
5187	2026-08-31T03:51:48+00:00	unbounded	20260831T033020+0000	
5188	2026-08-31T03:51:45+00:00	unbounded	20260831T033020+0000	
5189	2026-08-31T03:51:43+00:00	unbounded	20260831T033020+0000	
5190	2026-08-31T03:51:40+00:00	unbounded	20260831T033020+0000	
5191	2026-08-31T03:51:37+00:00	unbounded	20260831T033020+0000	
5192	2026-08-31T03:51:35+00:00	unbounded	20260831T033020+0000	
5193	2026-08-31T03:51:33+00:00	unbounded	20260831T033020+0000	
5194	2026-08-31T03:51:31+00:00	unbounded	20260831T033020+0000	
5195	2026-08-31T03:51:28+00:00	unbounded	20260831T033020+0000	
5196	2026-08-31T03:51:26+00:00	unbounded	20260831T033020+0000	
5197	2026-08-31T03:51:24+00:00	unbounded	20260831T033020+0000	
5198	2026-08-31T03:51:21+00:00	unbounded	20260831T033020+0000	
5199	2026-08-31T03:51:20+00:00	unbounded	20260831T033020+0000	
5200	2026-08-31T03:51:17+00:00	unbounded	20260831T033020+0000	
5201	2026-08-31T03:51:14+00:00	unbounded	20260831T033020+0000	
5202	2026-08-31T03:51:12+00:00	unbounded	20260831T033020+0000	
5203	2026-08-31T03:51:10+00:00	unbounded	20260831T033020+0000	
5204	2026-08-31T03:51:07+00:00	unbounded	20260831T033020+0000	
5205	2026-08-31T03:51:05+00:00	unbounded	20260831T033020+0000	
5206	2026-08-31T03:51:02+00:00	unbounded	20260831T033020+0000	
5207	2026-08-31T03:51:00+00:00	unbounded	20260831T033020+0000	
5208	2026-08-31T03:50:58+00:00	unbounded	20260831T033020+0000	
5210	2026-08-31T03:50:53+00:00	unbounded	20260831T033020+0000	
5211	2026-08-31T03:50:51+00:00	unbounded	20260831T033020+0000	
5212	2026-08-31T03:50:48+00:00	unbounded	20260831T033020+0000	
5213	2026-08-31T03:50:46+00:00	unbounded	20260831T033020+0000	
5214	2026-08-31T03:50:43+00:00	unbounded	20260831T033020+0000	
5215	2026-08-31T03:50:41+00:00	unbounded	20260831T033020+0000	
5216	2026-08-31T03:50:39+00:00	unbounded	20260831T033020+0000	
